filename,class,truncated,occluded,observation angle,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rot_y,id
000010.txt,Car,0.8,0,-2.09,1013.39,182.46,1241.0,374.0,1.57,1.65,3.35,4.43,1.65,5.2,-1.42,27.0
000010.txt,Car,0.0,0,1.95,354.43,185.52,549.52,294.49,1.43,1.7,3.95,-2.39,1.66,11.8,1.76,28.0
000010.txt,Pedestrian,0.0,2,1.41,859.54,159.8,879.68,221.4,1.96,0.72,1.09,8.33,1.55,23.51,1.75,29.0
000010.txt,Car,0.0,0,-1.78,819.63,178.12,926.85,251.56,1.51,1.6,3.24,5.85,1.64,16.5,-1.44,30.0
000010.txt,Car,0.0,2,-1.69,800.54,178.06,878.75,230.56,1.45,1.74,4.1,6.87,1.62,22.05,-1.39,31.0
000010.txt,Car,0.0,0,1.8,558.55,179.04,635.05,230.61,1.54,1.68,3.79,-0.38,1.76,23.64,1.78,32.0
000010.txt,Car,0.0,2,1.77,598.3,178.68,652.25,218.17,1.49,1.52,3.35,0.64,1.74,29.07,1.79,33.0
000010.txt,Car,0.0,1,-1.67,784.59,178.04,839.98,220.1,1.53,1.65,4.37,7.88,1.75,28.53,-1.4,34.0
000010.txt,Car,0.0,1,1.92,663.74,175.36,707.21,204.15,1.64,1.45,3.48,4.5,1.8,42.85,2.02,35.0
000011.txt,Pedestrian,0.0,1,0.3,883.68,144.15,937.35,259.01,1.9,0.42,1.04,5.06,1.43,12.42,0.68,36.0
000011.txt,Pedestrian,0.0,2,0.29,873.7,152.1,933.44,256.07,1.87,0.5,0.9,5.42,1.5,13.43,0.67,37.0
000011.txt,Car,0.0,0,1.74,444.29,171.04,504.95,225.82,1.86,1.57,3.83,-4.95,1.83,26.64,1.55,38.0
000011.txt,Pedestrian,0.0,0,-0.39,649.28,168.1,664.61,206.4,1.78,0.53,0.95,2.2,1.57,34.08,-0.33,39.0
000011.txt,Car,0.98,0,2.42,0.0,217.12,85.92,374.0,1.5,1.46,3.7,-5.12,1.85,4.13,1.56,40.0
000011.txt,Pedestrian,0.0,0,2.02,240.35,190.31,268.02,261.61,1.54,0.57,0.41,-7.92,1.94,15.95,1.57,41.0
000012.txt,Car,0.0,0,-1.84,662.2,185.85,690.21,205.03,1.48,1.36,3.51,5.35,2.56,58.84,-1.75,42.0
000012.txt,Van,0.0,0,1.7,448.07,177.14,481.6,206.41,2.5,2.2,5.78,-13.02,2.91,65.02,1.5,43.0
000013.txt,Car,0.0,0,1.74,455.7,183.86,533.81,241.91,1.45,1.56,3.47,-3.16,1.77,20.13,1.59,44.0
000014.txt,Car,0.0,0,1.73,626.59,176.07,654.95,194.24,1.44,1.68,4.39,2.57,1.72,59.81,1.77,45.0
000015.txt,Car,0.89,0,2.29,0.0,194.7,414.71,373.0,1.57,1.67,4.14,-2.75,1.7,4.1,1.72,46.0
000015.txt,Pedestrian,0.0,1,0.71,1021.76,133.28,1101.39,316.63,1.81,1.06,0.73,4.75,1.33,7.59,1.25,47.0
000015.txt,Pedestrian,0.0,0,-1.58,672.23,171.73,690.13,224.33,1.73,0.84,0.86,2.46,1.41,24.14,-1.48,48.0
000015.txt,Pedestrian,0.0,0,-1.59,692.68,169.14,712.48,224.03,1.81,0.9,0.95,3.3,1.4,24.22,-1.46,49.0
000015.txt,Pedestrian,0.0,0,-1.46,537.84,168.08,560.9,224.34,1.78,0.92,1.01,-1.79,1.36,23.3,-1.54,50.0
000016.txt,Car,0.0,2,-1.45,661.23,174.85,694.38,197.63,1.32,1.48,4.44,4.19,1.46,44.41,-1.35,51.0
000016.txt,Truck,0.0,2,2.11,125.12,91.71,474.04,253.26,4.02,2.6,16.79,-9.48,2.08,26.41,1.77,52.0
000016.txt,Car,0.0,0,-1.4,684.49,172.19,733.85,205.26,1.42,1.56,4.16,4.58,1.41,33.13,-1.27,53.0
000016.txt,Car,0.5,0,-0.72,0.0,193.56,386.2,374.0,1.45,1.59,3.44,-3.67,1.67,6.05,-1.24,54.0
000016.txt,Car,0.0,0,1.82,494.45,181.84,527.48,205.27,1.44,1.35,3.23,-6.41,2.04,46.74,1.68,55.0
000016.txt,Tram,0.0,2,1.2,587.32,158.63,648.66,188.51,3.46,2.57,14.66,0.75,1.91,90.96,1.21,56.0
000017.txt,Car,0.0,0,-2.23,728.25,173.97,791.57,200.2,1.62,1.72,4.35,9.71,1.73,47.16,-2.03,57.0
000018.txt,Car,0.0,0,-1.59,523.41,194.53,550.65,219.39,1.44,1.66,4.53,-4.82,2.9,47.02,-1.69,58.0
000018.txt,Van,0.0,0,-1.68,572.15,185.81,606.45,219.24,2.02,1.7,4.6,-1.42,2.89,47.11,-1.71,59.0
000018.txt,Tram,0.0,2,1.27,387.26,166.06,473.51,213.36,3.46,2.57,14.66,-15.22,3.07,59.75,1.02,60.0
000019.txt,Truck,0.74,1,2.07,0.0,0.0,424.74,374.0,2.6,2.06,5.42,-3.17,1.77,5.46,1.57,61.0
000019.txt,Car,0.0,0,-1.81,742.41,184.49,944.56,321.39,1.46,1.6,3.71,2.84,1.63,9.72,-1.54,62.0
000019.txt,Van,0.0,0,-1.64,639.17,169.69,683.48,212.97,1.97,1.82,4.41,2.42,1.86,35.34,-1.57,63.0
000019.txt,Car,0.0,0,-1.48,551.01,184.06,575.42,204.29,1.58,1.65,3.91,-3.85,2.52,59.59,-1.55,64.0
000020.txt,Car,0.0,0,-1.77,685.05,181.43,804.68,258.21,1.4,1.61,4.37,2.69,1.6,15.58,-1.61,65.0
000021.txt,Cyclist,0.89,0,-2.22,1056.16,190.5,1241.0,374.0,1.59,0.53,1.89,2.75,1.68,3.14,-1.55,66.0
000021.txt,Car,0.0,0,1.9,359.43,179.3,516.3,270.97,1.44,1.64,3.78,-3.03,1.57,13.3,1.68,67.0
000021.txt,Car,0.0,1,1.82,444.13,163.92,559.2,247.04,1.77,1.71,4.28,-2.52,1.61,17.6,1.68,68.0
000021.txt,Van,0.0,1,-0.47,870.59,115.22,1101.06,213.85,2.71,2.12,5.66,10.9,1.13,21.3,-0.01,69.0
000021.txt,Car,0.0,0,-1.72,724.49,171.09,790.5,215.13,1.45,1.71,3.93,5.18,1.42,25.97,-1.53,70.0
000021.txt,Car,0.0,1,1.74,534.25,166.2,596.08,216.76,1.73,1.65,3.96,-1.62,1.53,26.83,1.67,71.0
000021.txt,Car,0.0,2,-1.69,709.81,162.43,765.7,205.68,1.78,1.89,4.37,5.57,1.38,32.13,-1.52,72.0
000021.txt,Car,0.0,2,1.69,562.02,166.42,605.57,206.89,1.68,1.51,3.29,-1.14,1.43,31.78,1.66,73.0
000022.txt,Car,0.0,1,-1.11,128.66,199.48,218.9,237.2,1.42,1.7,4.14,-19.08,2.65,31.72,-1.65,74.0
000022.txt,Car,0.0,1,-1.04,60.72,198.17,159.92,238.35,1.52,1.71,4.11,-21.79,2.69,31.61,-1.64,75.0
000023.txt,Truck,0.0,0,-1.57,599.21,156.67,629.63,189.6,2.85,2.63,12.34,0.42,1.52,69.29,-1.57,76.0
000023.txt,Car,0.0,0,1.86,372.95,182.64,412.21,205.68,1.67,1.87,3.69,-16.57,2.43,55.08,1.57,77.0
000023.txt,Cyclist,0.0,3,-1.66,677.94,164.64,690.85,195.36,1.86,0.6,2.02,4.58,1.37,44.76,-1.56,78.0
000024.txt,Car,0.0,0,-1.73,517.23,162.98,564.36,196.64,1.6,1.76,3.84,-3.47,0.53,36.37,-1.83,79.0
000024.txt,Car,0.0,0,-1.67,443.6,168.03,480.35,195.69,1.39,1.56,3.45,-7.78,0.51,38.09,-1.87,80.0
000024.txt,Car,0.0,1,-1.65,427.54,165.14,455.37,185.51,1.41,1.66,3.76,-12.08,0.0,52.01,-1.88,81.0
000025.txt,Car,0.94,3,-2.1,896.11,218.17,1241.0,374.0,1.39,1.44,3.08,2.43,1.68,3.14,-1.49,82.0
000025.txt,Car,0.0,0,-1.29,351.84,183.19,537.77,308.64,1.47,1.6,3.66,-2.21,1.63,10.42,-1.49,83.0
000025.txt,Car,0.0,0,1.75,562.48,173.46,618.49,217.36,1.7,1.63,4.08,-0.78,1.75,30.18,1.72,84.0
000025.txt,Car,0.0,0,-1.69,724.21,178.91,805.39,249.94,1.59,1.59,2.47,3.64,1.75,17.48,-1.49,85.0
000025.txt,Cyclist,0.0,3,1.6,650.19,175.43,659.99,205.2,1.81,0.55,1.19,2.77,1.98,44.63,1.66,86.0
000025.txt,Car,0.0,1,-1.62,720.81,187.01,779.98,236.22,1.37,1.59,3.22,4.23,1.83,22.3,-1.44,87.0
000026.txt,Truck,0.0,1,1.8,633.9,155.08,704.57,211.64,2.66,2.23,6.19,3.16,1.86,37.22,1.89,88.0
000026.txt,Car,0.0,0,-1.67,555.45,174.38,576.17,191.19,1.53,1.59,3.64,-4.22,1.7,68.34,-1.73,89.0
000027.txt,Van,0.0,3,2.06,16.35,117.65,314.78,314.78,2.72,1.9,5.78,-7.39,1.99,12.9,1.55,90.0
000027.txt,Car,0.0,0,-1.58,590.88,181.6,607.07,194.48,1.26,1.6,3.56,-1.15,2.16,73.46,-1.59,91.0
000028.txt,Pedestrian,0.0,0,-2.45,147.29,156.22,205.29,309.43,1.75,0.67,1.13,-5.18,1.48,8.51,-2.97,92.0
000029.txt,Misc,0.0,0,1.8,490.15,174.98,542.09,227.7,1.61,1.21,2.07,-3.03,1.7,23.25,1.67,93.0
000029.txt,Car,0.0,0,-1.71,652.31,174.94,690.16,204.97,1.64,1.69,3.3,3.46,1.78,41.53,-1.63,94.0
000030.txt,Car,0.0,0,1.58,559.66,178.84,588.85,204.88,1.41,1.59,4.47,-2.08,1.78,41.9,1.53,95.0
000031.txt,Car,0.0,0,-1.35,334.28,180.65,490.02,297.48,1.65,1.67,3.81,-3.18,1.79,12.2,-1.6,96.0
000031.txt,Car,0.0,0,-1.93,785.85,179.67,1028.82,340.75,1.52,1.51,3.1,3.18,1.61,8.46,-1.59,97.0
000031.txt,Car,0.0,1,-1.8,711.98,179.65,848.82,277.62,1.53,1.58,3.53,2.9,1.66,13.14,-1.59,98.0
000031.txt,Truck,0.0,2,1.71,445.91,131.69,539.77,228.36,2.6,2.06,5.42,-3.48,1.52,22.27,1.56,99.0
000031.txt,Car,0.0,0,-1.64,660.82,178.72,713.09,222.03,1.46,1.6,3.71,2.71,1.69,26.41,-1.54,100.0
000031.txt,Van,0.0,0,-1.62,620.95,171.59,649.36,200.46,1.97,1.82,4.41,1.75,1.91,51.9,-1.58,101.0
000032.txt,Car,0.0,0,1.96,178.19,189.36,435.56,344.73,1.46,1.5,3.88,-3.49,1.7,9.0,1.6,102.0
000032.txt,Car,0.0,0,-1.91,776.17,182.37,1014.36,335.44,1.46,1.55,3.19,3.09,1.59,8.6,-1.57,103.0
000032.txt,Van,0.0,1,1.8,340.65,150.97,489.14,274.11,2.05,1.79,4.47,-3.69,1.71,14.34,1.56,104.0
000032.txt,Car,0.0,1,-1.79,711.6,180.21,863.08,273.6,1.44,1.69,4.45,3.04,1.58,13.47,-1.58,105.0
000032.txt,Car,0.0,2,-1.58,709.49,176.89,777.81,234.26,1.42,1.66,3.71,3.6,1.55,19.85,-1.4,106.0
000032.txt,Van,0.0,2,-2.65,119.13,141.28,368.15,230.69,2.61,2.21,6.75,-11.4,1.72,22.71,-3.11,107.0
000032.txt,Car,0.0,2,-1.35,725.15,164.18,806.31,219.41,1.75,1.84,4.43,5.51,1.5,25.25,-1.14,108.0
000032.txt,Van,0.0,0,-1.61,611.72,163.22,643.8,197.13,1.98,1.8,4.54,1.03,1.44,44.71,-1.58,109.0
000032.txt,Van,0.0,2,-0.31,780.93,147.56,917.34,199.48,2.66,2.13,6.64,12.82,1.38,39.04,0.0,110.0
000032.txt,Car,0.0,0,-1.45,494.77,173.81,531.54,199.22,1.48,1.71,4.65,-5.97,1.57,44.75,-1.58,111.0
000033.txt,Car,0.0,0,-1.58,582.63,175.1,601.14,189.77,1.26,1.6,3.56,-1.64,1.48,64.47,-1.6,112.0
000033.txt,Car,0.23,3,2.17,0.0,189.66,234.52,322.3,1.48,1.64,3.59,-7.09,1.75,10.15,1.57,113.0
000034.txt,Car,0.0,0,0.5,46.17,196.15,328.4,286.09,1.56,1.71,4.5,-8.15,2.06,14.12,-0.02,114.0
000034.txt,Car,0.0,1,-2.99,466.96,184.85,522.12,207.02,1.44,1.52,3.5,-7.84,2.28,49.04,3.13,115.0
000035.txt,Car,0.0,0,-1.58,587.01,173.33,614.12,200.12,1.65,1.67,3.64,-0.65,1.71,46.7,-1.59,116.0
000035.txt,Car,0.0,0,-1.4,425.44,176.21,529.23,259.84,1.61,1.51,4.5,-2.88,1.71,16.31,-1.57,117.0
000035.txt,Car,0.0,1,1.95,234.86,185.44,320.32,231.58,1.61,1.72,3.65,-12.69,2.12,27.71,1.53,118.0
000035.txt,Cyclist,0.0,0,-2.46,665.45,160.0,717.93,217.99,1.72,0.47,1.65,2.45,1.35,22.1,-2.35,119.0
000035.txt,Pedestrian,0.0,2,0.21,423.17,173.67,433.17,224.03,1.6,0.38,0.3,-5.87,1.63,23.11,-0.03,120.0
000036.txt,Car,0.0,0,-1.58,553.16,178.73,693.67,311.88,1.55,1.63,3.32,0.11,1.64,10.13,-1.57,121.0
000036.txt,Car,0.0,0,1.89,341.05,194.66,390.28,218.73,1.37,1.82,3.96,-15.54,2.81,46.01,1.56,122.0
000036.txt,Car,0.0,0,2.03,286.23,196.48,337.13,220.85,1.38,1.79,2.94,-18.46,2.88,44.69,1.64,123.0
000036.txt,Car,0.0,0,1.82,412.76,190.23,455.28,212.54,1.4,1.75,4.75,-12.25,2.66,50.4,1.58,124.0
000036.txt,Car,0.0,1,2.67,960.19,183.87,1104.42,229.69,1.59,1.73,4.26,15.49,2.03,26.68,-3.09,125.0
000036.txt,Car,0.39,3,2.53,1154.43,178.14,1241.0,222.29,1.55,1.76,3.59,22.52,1.76,26.55,-3.06,126.0
000036.txt,Car,0.97,3,-2.06,1123.12,213.78,1241.0,374.0,1.3,1.64,3.71,4.52,1.63,4.08,-1.26,127.0
000037.txt,Car,0.0,0,-1.57,555.85,173.64,628.69,240.05,1.6,1.76,3.84,-0.45,1.32,19.43,-1.59,128.0
000037.txt,Truck,0.92,0,-1.25,27.11,0.0,512.28,375.0,4.05,2.5,16.44,-3.63,1.51,10.25,-1.59,129.0
000037.txt,Car,0.0,2,-1.46,473.07,183.18,535.73,226.04,1.3,1.61,4.39,-3.46,1.24,24.49,-1.6,130.0
000038.txt,Car,0.0,0,-1.59,592.08,176.5,637.55,219.52,1.56,1.65,3.69,0.12,1.72,28.28,-1.58,131.0
000038.txt,Car,0.12,0,-1.27,895.35,158.55,1241.0,374.0,1.63,1.61,3.96,4.38,1.54,6.69,-0.71,132.0
000038.txt,Car,0.0,1,-1.13,817.68,176.9,1038.04,302.31,1.49,1.63,3.36,4.61,1.57,10.4,-0.72,133.0
000038.txt,Car,0.0,1,-1.01,749.97,177.62,940.82,262.93,1.41,1.6,4.09,4.63,1.52,14.02,-0.7,134.0
000038.txt,Car,0.0,1,1.73,489.07,180.53,521.27,201.03,1.37,1.64,3.92,-7.38,1.92,50.9,1.58,135.0
000038.txt,Car,0.0,0,1.9,302.47,188.9,409.18,250.55,1.38,1.47,3.62,-6.49,1.83,18.66,1.57,136.0
000038.txt,Car,0.0,1,-0.87,682.53,173.56,796.81,220.86,1.49,1.59,4.09,4.47,1.53,24.75,-0.7,137.0
000038.txt,Car,0.0,2,-0.94,659.69,174.94,745.56,209.34,1.4,1.63,4.05,4.06,1.5,31.46,-0.81,138.0
000038.txt,Van,0.0,1,-0.92,640.44,167.63,707.44,198.61,1.88,1.82,4.64,4.12,1.58,46.13,-0.83,139.0
000038.txt,Car,0.0,0,1.8,434.34,175.49,472.4,199.91,1.67,1.68,4.49,-11.26,1.88,52.04,1.59,140.0
000038.txt,Car,0.0,2,1.79,456.14,177.0,487.16,197.96,1.63,1.58,4.2,-11.21,1.98,58.61,1.6,141.0
000038.txt,Car,0.0,1,1.81,412.71,177.61,437.08,195.86,1.47,1.29,2.95,-15.37,1.87,59.96,1.56,142.0
000039.txt,Car,0.2,0,1.9,114.51,193.47,466.61,374.0,1.48,1.67,4.3,-2.7,1.73,7.17,1.55,143.0
000039.txt,Car,0.0,0,-1.72,683.15,184.41,776.5,256.99,1.46,1.54,3.62,2.61,1.74,16.67,-1.57,144.0
000039.txt,Car,0.0,0,1.64,533.53,177.81,574.19,212.8,1.52,1.57,4.42,-2.6,1.77,33.82,1.57,145.0
000039.txt,Car,0.0,1,1.46,653.23,180.26,702.93,220.26,1.51,1.58,3.92,2.68,1.82,29.48,1.55,146.0
000039.txt,Car,0.0,2,1.58,561.27,178.49,585.9,201.02,1.46,1.6,3.33,-2.47,1.85,48.95,1.53,147.0
000039.txt,Car,0.0,2,-1.62,639.85,175.24,667.59,200.41,1.64,1.7,3.54,2.93,1.82,49.29,-1.56,148.0
000040.txt,Car,0.0,0,1.68,474.58,179.03,516.72,210.71,1.45,1.62,3.83,-5.58,1.77,35.37,1.52,149.0
000040.txt,Pedestrian,0.0,0,1.13,691.54,168.88,700.87,198.51,1.74,0.47,0.55,5.15,1.51,42.82,1.24,150.0
000041.txt,Car,0.0,1,-2.96,439.52,178.17,508.93,205.17,1.49,1.64,3.7,-7.84,1.82,41.75,3.14,151.0
000042.txt,Car,0.0,0,-1.57,576.34,174.48,604.86,202.67,1.65,1.67,3.64,-1.21,1.77,44.49,-1.59,152.0
000042.txt,Tram,0.0,1,1.71,390.32,163.01,450.87,196.74,3.59,2.69,35.24,-24.16,2.75,94.91,1.46,153.0
000043.txt,Pedestrian,0.0,0,-1.73,471.56,174.73,502.47,266.4,1.53,0.61,0.73,-2.2,1.57,12.56,-1.9,154.0
000043.txt,Pedestrian,0.0,0,-1.59,441.08,170.15,473.22,268.12,1.61,0.54,0.87,-2.7,1.57,12.34,-1.8,155.0
000043.txt,Pedestrian,0.0,0,1.19,684.72,161.94,711.08,230.1,1.89,0.61,0.92,2.4,1.59,20.51,1.3,156.0
000043.txt,Pedestrian,0.0,0,1.09,719.54,160.0,745.42,229.67,1.91,0.69,0.77,3.32,1.56,20.3,1.25,157.0
000044.txt,Car,0.7,0,2.11,0.0,203.44,365.5,374.0,1.44,1.62,3.67,-3.27,1.73,5.22,1.58,158.0
000044.txt,Car,0.0,0,1.79,378.01,183.98,507.17,276.44,1.51,1.62,3.68,-3.11,1.75,13.93,1.57,159.0
000045.txt,Car,0.0,0,2.12,75.43,192.52,273.65,277.52,1.47,1.63,4.11,-8.95,1.92,15.21,1.59,160.0
000045.txt,Tram,0.0,0,-1.65,694.04,152.62,734.19,188.24,3.33,2.37,23.29,11.16,1.55,79.53,-1.51,161.0
000045.txt,Car,0.0,0,1.98,269.01,176.97,375.72,242.36,1.8,1.61,3.83,-8.66,1.94,21.96,1.6,162.0
000045.txt,Car,0.0,1,1.95,346.6,186.7,419.98,229.04,1.45,1.45,3.4,-8.46,1.99,27.06,1.65,163.0
000045.txt,Car,0.0,1,1.87,387.31,178.52,455.56,221.43,1.75,1.71,4.31,-8.27,2.02,31.88,1.61,164.0
000045.txt,Car,0.0,0,1.8,455.95,181.43,500.99,209.72,1.53,1.66,4.01,-7.54,2.03,41.53,1.62,165.0
000045.txt,Car,0.0,2,1.79,480.03,181.4,517.92,205.67,1.48,1.6,3.9,-7.16,2.05,46.7,1.64,166.0
000046.txt,Car,0.0,0,-1.56,578.47,176.02,625.98,221.24,1.54,1.63,3.67,-0.32,1.68,26.76,-1.58,167.0
000046.txt,Car,0.0,2,-1.58,597.59,168.75,634.85,207.61,1.77,1.69,4.32,0.26,1.61,35.33,-1.57,168.0
000046.txt,Car,0.02,0,-1.89,769.21,151.69,1087.61,374.0,1.74,1.62,4.13,2.87,1.61,7.64,-1.54,169.0
000046.txt,Car,0.0,1,-1.77,706.06,174.92,807.35,254.28,1.53,1.46,3.26,3.03,1.59,15.65,-1.59,170.0
000046.txt,Car,0.0,0,-1.67,660.18,171.93,703.11,210.02,1.6,1.56,3.45,3.13,1.59,32.3,-1.57,171.0
000046.txt,Car,0.0,2,-1.68,646.4,174.21,684.26,204.82,1.52,1.53,4.07,2.85,1.62,38.2,-1.61,172.0
000047.txt,Car,0.0,0,-1.57,572.31,171.6,624.11,218.82,1.6,1.76,3.84,-0.38,1.13,26.54,-1.58,173.0
000047.txt,Car,0.43,0,-0.92,0.0,190.67,171.41,313.27,1.47,1.54,3.51,-8.37,1.59,10.68,-1.57,174.0
000047.txt,Car,0.0,0,-1.22,214.99,165.2,423.55,292.98,1.78,1.81,4.32,-4.65,1.49,12.25,-1.57,175.0
000047.txt,Car,0.0,1,-1.24,296.94,182.19,393.12,231.61,1.45,1.61,4.3,-8.54,1.37,23.68,-1.58,176.0
000047.txt,Car,0.0,0,-1.38,428.19,180.81,498.01,226.24,1.45,1.67,3.88,-5.0,1.3,25.13,-1.58,177.0
000047.txt,Van,0.0,1,-1.45,481.87,153.05,537.09,207.74,2.52,2.02,6.17,-4.88,1.02,36.41,-1.58,178.0
000047.txt,Car,0.0,1,-1.49,522.27,176.55,552.71,202.38,1.63,1.67,3.92,-4.64,1.07,47.7,-1.58,179.0
000047.txt,Car,0.04,1,-0.96,0.0,185.88,180.39,253.13,1.42,1.57,4.23,-12.64,1.46,17.75,-1.57,180.0
000047.txt,Car,0.0,2,-1.12,193.59,181.29,294.71,229.39,1.58,1.64,3.96,-12.99,1.45,25.9,-1.58,181.0
000048.txt,Pedestrian,0.0,0,-1.58,659.64,160.9,687.89,236.97,1.73,0.84,0.86,1.54,1.26,16.82,-1.49,182.0
000048.txt,Pedestrian,0.0,0,-1.66,680.59,157.38,711.83,236.18,1.81,0.9,0.95,2.15,1.26,17.03,-1.55,183.0
000048.txt,Pedestrian,0.0,0,-1.42,453.2,159.81,482.53,241.31,1.78,0.92,1.01,-3.22,1.31,16.26,-1.61,184.0
000048.txt,Cyclist,0.0,0,1.73,600.22,162.56,622.05,206.65,1.81,0.65,1.7,0.42,1.03,30.42,1.73,185.0
000049.txt,Car,0.0,0,-1.57,595.5,177.15,657.31,227.34,1.36,1.69,3.38,0.45,1.51,21.55,-1.55,186.0
000049.txt,Car,0.0,0,-2.24,305.23,179.59,494.97,263.68,1.4,1.6,3.55,-4.1,1.55,13.75,-2.52,187.0
000049.txt,Car,0.0,2,-2.14,410.09,176.18,514.77,228.78,1.46,1.49,3.4,-4.55,1.58,21.82,-2.34,188.0
000049.txt,Car,0.0,2,-2.25,435.96,173.6,537.84,218.33,1.43,1.62,3.47,-4.31,1.48,24.83,-2.43,189.0
000049.txt,Car,0.0,2,-2.24,473.64,171.53,556.16,203.86,1.37,1.55,3.96,-4.36,1.34,32.49,-2.37,190.0
000049.txt,Van,0.0,3,-2.28,515.19,156.84,585.71,193.55,2.21,1.82,4.69,-3.84,1.28,45.7,-2.36,191.0
000049.txt,Pedestrian,0.29,3,-2.06,984.43,188.05,1128.77,374.0,1.54,0.84,0.75,2.77,1.65,4.71,-1.55,192.0
000049.txt,Car,0.0,1,-1.98,823.97,189.33,1083.14,327.79,1.41,1.61,3.71,4.16,1.66,9.53,-1.58,193.0
000049.txt,Car,0.0,1,-1.83,753.34,185.35,885.42,263.59,1.36,1.59,3.85,4.1,1.64,14.89,-1.57,194.0
000049.txt,Car,0.0,2,-1.78,719.83,169.31,816.44,238.11,1.72,1.79,3.94,4.26,1.66,20.2,-1.58,195.0
000049.txt,Pedestrian,0.0,0,-1.88,693.57,173.32,709.9,209.83,1.61,0.74,1.08,3.96,1.64,32.55,-1.76,196.0
000049.txt,Car,0.0,2,-0.38,776.77,170.97,882.28,211.7,1.7,1.77,4.06,9.6,1.65,31.83,-0.09,197.0
000049.txt,Car,0.07,3,2.26,0.0,178.64,252.92,280.6,1.41,1.58,3.9,-7.94,1.52,12.04,1.69,198.0
